Task,Rank,Team Name,Score_day1,Score_day2,Score_day3,Score_day4,Score_day5,Score_day6,Score_day7,Average Score,Adjusted Score
1,44,StoreM_Troopers,18.613,29.918,52.273,54.507,64.585,87.565,82.788,55.750,44.600
1,45,team_regulate,33.412,33.866,39.930,56.362,48.856,38.212,54.509,43.592,43.592
1,46,meaTsooN,9.226,19.131,19.436,11.785,30.227,27.805,33.724,21.619,21.619
0,1,BIG_forecasters,111.214,112.449,110.389,108.736,115.382,105.030,79.246,106.0638615,106.0638615
0,2,EnJoyChAnGe,111.028,112.556,112.776,108.237,104.775,110.018,68.655,104.0063791,104.0063791
0,3,WattSmoothOperators,112.253,111.751,109.536,110.487,99.453,122.285,56.651,103.2022367,103.2022367
0,4,insights,117.374,115.047,106.784,104.458,98.726,102.775,72.738,102.5574665,102.5574665
0,5,ESAIL,112.265,112.784,105.861,106.442,102.341,117.918,59.560,102.4528733,102.4528733
0,6,FHV,114.272,110.664,112.081,107.674,96.431,109.065,66.086,102.3246834,102.3246834
0,7,batteries_included,109.526,111.888,109.000,111.039,96.815,120.454,53.010,101.6759063,101.6759063
0,8,ElectricDreamForecasters,107.733,109.727,109.932,100.212,108.401,108.026,63.200,101.032963,101.032963
0,9,Titans,106.354,99.366,113.192,104.738,102.023,100.240,79.327,100.7486067,100.7486067
0,10,u_cvml_,110.965,108.819,102.659,111.712,106.788,94.754,68.441,100.5911953,100.5911953
0,11,naïve Benchmark,108.964,110.752,104.832,113.164,100.942,110.636,53.257,100.3639295,100.3639295
0,12,lightening_voltage,108.946,110.244,104.219,102.262,101.094,107.892,66.205,100.1229909,100.1229909
0,13,Cameron,105.735,104.859,108.720,106.085,96.273,108.708,69.822,100.0288436,100.0288436
